Results Table 1
,Specimen number (included),Specimen label,Diameter,Support span,Maximum Force
,,,(mm),(mm),(N)
"","2.7400","0.5617","0.0001"
"","2.7600","0.5661","-0.0002"
"","2.7800","0.5704","-0.0004"
"","2.8000","0.5749","-0.0004"
"","2.8200","0.5793","-0.0001"
"","2.8400","0.5836","0.0001"
"","2.8600","0.5876","0.0000"
"","2.8800","0.5916","-0.0004"
"","2.9000","0.5955","-0.0005"
"","2.9200","0.5997","-0.0006"
"","2.9400","0.6039","-0.0004"
"","2.9600","0.6083","0.0002"
"","2.9800","0.6127","0.0005"
"","3.0000","0.6172","0.0004"
"","3.0200","0.6216","-0.0003"
"","3.0400","0.6259","-0.0006"
"","3.0600","0.6300","-0.0005"
"","3.0800","0.6340","0.0000"
"","3.1000","0.6379","0.0002"
"","3.1200","0.6420","0.0003"
"","3.1400","0.6462","0.0000"
"","3.1600","0.6504","-0.0001"
"","3.1800","0.6547","-0.0006"
"","3.2000","0.6589","-0.0001"
"","3.2200","0.6632","0.0002"
"","3.2400","0.6677","0.0002"
"","3.2600","0.6722","0.0000"
"","3.2800","0.6766","-0.0002"
"","3.3000","0.6808","-0.0006"
"","3.3200","0.6848","-0.0006"
"","3.3400","0.6888","0.0000"
"","3.3600","0.6928","0.0001"
"","3.3800","0.6970","-0.0003"
"","3.4000","0.7013","-0.0003"
"","3.4200","0.7058","-0.0006"
"","3.4400","0.7103","-0.0007"
"","3.4600","0.7148","0.0001"
"","3.4800","0.7192","0.0002"
"","3.5000","0.7234","0.0001"
"","3.5200","0.7274","0.0001"
"","3.5400","0.7314","-0.0001"
"","3.5600","0.7354","-0.0005"
"","3.5800","0.7395","-0.0003"
"","3.6000","0.7437","0.0000"
"","3.6200","0.7480","0.0006"
"","3.6400","0.7522","0.0002"
"","3.6600","0.7565","-0.0001"
"","3.6800","0.7608","-0.0003"
"","3.7000","0.7651","-0.0004"
"","3.7200","0.7695","-0.0001"
"","3.7400","0.7738","0.0002"
"","3.7600","0.7779","0.0004"
"","3.7800","0.7820","0.0001"
"","3.8000","0.7861","-0.0001"
"","3.8200","0.7902","-0.0009"
"","3.8400","0.7945","-0.0006"
"","3.8600","0.7988","0.0001"
"","3.8800","0.8032","0.0006"
"","3.9000","0.8077","0.0007"
"","3.9200","0.8123","0.0001"
"","3.9400","0.8167","-0.0006"
"","3.9600","0.8209","-0.0003"
"","3.9800","0.8249","0.0003"
"","4.0000","0.8288","0.0004"
"","4.0200","0.8328","0.0001"
"","4.0400","0.8369","0.0000"
"","4.0600","0.8410","-0.0001"
"","4.0800","0.8451","-0.0002"
"","4.1000","0.8493","0.0001"
"","4.1200","0.8536","0.0005"
"","4.1400","0.8580","0.0005"
"","4.1600","0.8624","0.0002"
"","4.1800","0.8668","-0.0002"
"","4.2000","0.8711","-0.0003"
"","4.2200","0.8753","0.0001"
"","4.2400","0.8794","0.0001"
"","4.2600","0.8833","-0.0001"
"","4.2800","0.8873","-0.0003"
"","4.3000","0.8914","-0.0003"
"","4.3200","0.8958","-0.0003"
"","4.3400","0.9003","-0.0003"
"","4.3600","0.9050","0.0001"
"","4.3800","0.9095","0.0003"
"","4.4000","0.9139","0.0001"
"","4.4200","0.9181","0.0001"
"","4.4400","0.9221","-0.0003"
"","4.4600","0.9261","-0.0003"
"","4.4800","0.9302","0.0002"
"","4.5000","0.9343","0.0005"
"","4.5200","0.9385","0.0002"
"","4.5400","0.9426","-0.0003"
"","4.5600","0.9468","-0.0004"
"","4.5800","0.9510","-0.0005"
"","4.6000","0.9555","-0.0001"
"","4.6200","0.9599","0.0003"
"","4.6400","0.9643","0.0002"
"","4.6600","0.9685","0.0002"
"","4.6800","0.9727","-0.0001"
"","4.7000","0.9768","-0.0003"
"","4.7200","0.9808","-0.0003"
"","4.7400","0.9849","-0.0001"
"","4.7600","0.9890","-0.0001"
"","4.7800","0.9934","0.0001"
"","4.8000","0.9979","0.0003"
"","4.8200","1.0024","0.0000"
"","4.8400","1.0069","-0.0003"
"","4.8600","1.0112","0.0000"
"","4.8800","1.0154","0.0000"
"","4.9000","1.0194","-0.0001"
"","4.9200","1.0234","-0.0002"
"","4.9400","1.0275","-0.0004"
"","4.9600","1.0316","-0.0006"
"","4.9800","1.0357","-0.0004"
"","5.0000","1.0398","-0.0003"
"","5.0200","1.0441","-0.0002"
"","5.0400","1.0484","-0.0002"
"","5.0600","1.0529","0.0001"
"","5.0800","1.0573","-0.0001"
